ParcelID,DisplayLabel,Hemisphere,Network,SchaeferName,X,Y,Z,AnatomicalRegion,AnatomicalOverlapPercent,Voxels
382,"R default, PFCdPFCm 4",R,DMN,7Networks_RH_Default_PFCdPFCm_4,7,54,13,Frontal Sup Medial R,59.6,4657
383,"R default, PFCdPFCm 5",R,DMN,7Networks_RH_Default_PFCdPFCm_5,17,65,16,Frontal Sup R,67.2,3189
384,"R default, PFCdPFCm 6",R,DMN,7Networks_RH_Default_PFCdPFCm_6,6,25,18,Cingulum Ant R,96.1,1335
385,"R default, PFCdPFCm 7",R,DMN,7Networks_RH_Default_PFCdPFCm_7,6,58,29,Frontal Sup Medial R,85.2,2440
386,"R default, PFCdPFCm 8",R,DMN,7Networks_RH_Default_PFCdPFCm_8,16,53,36,Frontal Sup R,79.8,2939
387,"R default, PFCdPFCm 9",R,DMN,7Networks_RH_Default_PFCdPFCm_9,5,44,40,Frontal Sup Medial R,73.8,2274
388,"R default, PFCdPFCm 10",R,DMN,7Networks_RH_Default_PFCdPFCm_10,26,35,39,Frontal Mid R,68.5,3250
389,"R default, PFCdPFCm 11",R,DMN,7Networks_RH_Default_PFCdPFCm_11,14,39,52,Frontal Sup R,55.8,3622
390,"R default, PFCdPFCm 12",R,DMN,7Networks_RH_Default_PFCdPFCm_12,24,26,51,Frontal Sup R,70.0,3086
391,"R default, PFCdPFCm 13",R,DMN,7Networks_RH_Default_PFCdPFCm_13,12,20,63,Supp Motor Area R,60.6,3219
392,"R default, pCunPCC 1",R,DMN,7Networks_RH_Default_pCunPCC_1,12,-55,15,Precuneus R,44.7,3109
393,"R default, pCunPCC 2",R,DMN,7Networks_RH_Default_pCunPCC_2,7,-44,20,Cingulum Post R,52.3,454
394,"R default, pCunPCC 3",R,DMN,7Networks_RH_Default_pCunPCC_3,16,-63,27,Precuneus R,60.4,1290
395,"R default, pCunPCC 4",R,DMN,7Networks_RH_Default_pCunPCC_4,6,-52,23,Precuneus R,70.7,2152
396,"R default, pCunPCC 5",R,DMN,7Networks_RH_Default_pCunPCC_5,5,-63,31,Precuneus R,79.2,1397
397,"R default, pCunPCC 6",R,DMN,7Networks_RH_Default_pCunPCC_6,7,-38,35,Cingulum Mid R,71.4,2835
398,"R default, pCunPCC 7",R,DMN,7Networks_RH_Default_pCunPCC_7,4,-20,37,Cingulum Mid R,97.6,2047
399,"R default, pCunPCC 8",R,DMN,7Networks_RH_Default_pCunPCC_8,10,-53,35,Precuneus R,79.9,1402
400,"R default, pCunPCC 9",R,DMN,7Networks_RH_Default_pCunPCC_9,7,-50,45,Precuneus R,96.0,1991
401,L nucleus accumbens,L,SBC,,-8,12,-7,Caudate L,82.8,1138
402,R nucleus accumbens,R,SBC,,10,12,-7,Caudate R,82.1,1157
403,L amygdala,L,SBC,,-23,-3,-19,Amygdala L,56.9,1634
404,R amygdala,R,SBC,,28,-1,-19,Amygdala R,68.3,1880
405,L caudate,L,SBC,,-12,9,11,Caudate L,98.4,6344
406,R caudate,R,SBC,,16,10,10,Caudate R,91.9,6824
407,L hippocampus,L,SBC,,-25,-22,-12,Hippocampus L,70.6,7299
408,R hippocampus,R,SBC,,29,-22,-12,Hippocampus R,76.9,7400
409,L pallidum,L,SBC,,-18,-2,-2,Pallidum L,98.0,2344
410,R pallidum,R,SBC,,21,-2,-2,Pallidum R,92.1,2240
411,L parahippocampal gyrus,L,SBC,,-19,-12,-23,ParaHippocampal L,93.3,2762
412,R parahippocampal gyrus,R,SBC,,24,-12,-22,ParaHippocampal R,91.4,2498
413,L putamen,L,SBC,,-24,2,1,Putamen L,88.0,7967
414,R putamen,R,SBC,,28,3,1,Putamen R,97.5,8270
415,L thalamus,L,SBC,,-11,-19,6,Thalamus L,98.2,8800
416,R thalamus,R,SBC,,13,-19,6,Thalamus R,97.7,8456
