1.0	VIS	-32.29960672148731	-41.16052913836253	-21.273149803360745
2.0	VIS	-30.09928229665072	-32.864234449760765	-17.81608851674641
3.0	VIS	-35.508420208500404	-62.13672814755413	-17.025661587810745
4.0	VIS	-24.39665509624487	-54.53897128431682	-8.243925528557904
5.0	VIS	-23.37663885578069	-72.72943980929678	-10.35399284862932
6.0	VIS	-36.42270958613371	-81.25963919349134	-15.886805801202687
7.0	VIS	-18.61496965610249	-36.682400539447066	-11.940660822656778
8.0	VIS	-45.26010168584426	-70.01552047096601	-8.176077067166176
9.0	VIS	-17.088737201365188	-86.35684489950701	-14.972696245733788
10.0	VIS	-12.200919540229885	-61.13103448275862	-4.737931034482759
11.0	VIS	-6.663153627888123	-75.67531414673692	-5.766923388731253
12.0	VIS	-24.67658168083097	-96.70278564683665	-11.949952785646836
13.0	VIS	-13.497885835095138	-42.86469344608879	-5.5073995771670194
14.0	VIS	-41.45610625202462	-86.5144152899255	-3.2173631357304826
15.0	VIS	-7.489845852703695	-97.38805970149254	-7.306337166625887
16.0	VIS	-13.857761286332716	-56.7847866419295	1.443413729128015
17.0	VIS	-46.15988372093023	-73.2375		6.233139534883721
18.0	VIS	-4.657641395908544	-88.34085439229844	1.4413357400722022
19.0	VIS	-24.379872881355933	-95.95381355932204	5.953601694915254
20.0	VIS	-13.631958762886596	-49.289690721649485	4.177319587628866
21.0	VIS	-7.358768406961178	-74.39892904953146	9.386345381526104
22.0	VIS	-18.913961875322	-64.41524987120042	6.982998454404946
23.0	VIS	-39.35902547065338	-83.71672203765227	14.137098560354374
24.0	VIS	-10.814885093822475	-96.5450137044065	17.10056925996205
25.0	VIS	-3.032337626747054	-84.24088791449712	24.394902713072074
26.0	VIS	-12.262105730786317	-71.09551310528654	20.38916037316748
27.0	VIS	-24.87890765361121	-84.61696011498383	21.78692058929213
28.0	VIS	-31.89685124864278	-84.01900108577632	27.06243213897937
29.0	VIS	-15.873584905660378	-88.95245283018868	33.492075471698115
30.0	VIS	-11.991604938271603	-80.70864197530864	35.98765432098765
31.0	VIS	-21.266275085658343	-78.64757709251101	44.69799314733236
32.0	ASM	-50.0144		9.5536			0.512
33.0	ASM	-56.04419889502763	-21.456554495228527	7.67754897036665
34.0	ASM	-36.03130148270181	-24.1004942339374	10.069192751235583
35.0	ASM	-38.35314861460957	-9.101259445843828	12.99294710327456
36.0	ASM	-36.05574912891986	-26.382578397212544	18.993031358885016
37.0	ASM	-58.73918575063613	-37.06870229007634	15.615776081424936
38.0	ASM	-41.16718075262184	-34.93707587908698	14.207279457125232
39.0	ASM	-48.96799580272823	-12.973242392444911	13.998426023084996
40.0	ASM	-59.599223946784925	-2.368070953436807	11.383037694013304
41.0	ASM	-48.31269160024525	-24.1704475781729	17.74555487431024
42.0	ASM	-60.989375		-17.615			19.415625
43.0	ASM	-59.07257346393589	-2.259127337488869	23.784951024042744
44.0	ASM	-62.47865853658536	-10.225609756097562	31.053658536585367
45.0	ASM	-52.94924554183813	-8.973936899862826	29.980109739369
46.0	ASM	-54.90987983978639	-19.80106809078772	40.6909212283044
47.0	ASM	-50.87562814070352	-6.95393634840871	42.95058626465661
48.0	ASM	-48.35205183585313	-16.163426925845933	40.31893448524118
49.0	ASM	-7.866060845515607	-15.33781114184117	46.96918214144607
50.0	ASM	-40.81139489194499	-14.548788474132284	47.68172888015717
51.0	ASM	-48.63730255164034	-17.34325637910085	54.33049817739976
52.0	ASM	-47.614996395097336	-29.325522710886805	57.939798125450615
53.0	ASM	-39.090539165818925	-24.64089521871821	52.83214649033571
54.0	ASM	-8.706849315068494	-37.80821917808219	53.779908675799085
55.0	ASM	-4.361865407319953	-25.073199527744983	55.939197166469896
56.0	ASM	-4.174343734522041	-8.792966815255078	59.11441307578009
57.0	ASM	-34.5774798927614	-18.253887399463807	63.78230563002681
58.0	ASM	-30.367791077257888	-46.419659049691695	62.7841857091041
